id,X_cor,Y_cor,Elevation,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
328,1148198.279,796814.0154,921.0, , , , , , , ,1, , , , , , 
329,1142510.432,796745.0658,976.0, , , , , , , ,1, , , , , , 
330,1156123.862,797871.4983,949.0, , , , , , ,1,1, , , , , , 
331,1354381.213,672590.4996,1029.0, , , , , , , ,1, , , , , , 
332,1283366.625,664897.7311,1368.0, , , , , , , ,1, , , , , , 
333,1162818.125,783804.1528,931.0, , , , , , ,1,1, , , , , , 
334,1154350.02,794289.02,921.0, , , , , , ,1,1, , , , , , 
335,1268573.296,733239.8342,1370.0, , ,1,1, , ,1,1, , , , , , 
336,1292078.8,711107.4611,1040.0, , , , ,1, , ,1, , , , , , 
337,1291997.807,710818.2429,1044.0, , , , ,1, , ,1, , , , , , 
338,1276324.173,654769.344,1307.0, , , , ,1, ,1,1, , , , , , 
339,1280401.036,652721.1253,826.0, , , , , , , ,1, , , , , , 
340,1261237.252,701633.4396,1353.0, , , , , , , ,1, , , , , , 
341,1288958.067,773085.0123,910.0, , ,1,1, , ,1,1, , , , , , 
342,1295432.554,763497.9963,969.0, , ,1,1, , , ,1, , , , , , 
343,1262344.626,698608.6964,1351.0, , , ,1, , , ,1, , , , , , 
344,1259197.537,734550.78,878.0, , , ,1,1, ,1, , , , , , , 
